date,sicht,eco,ente,temp,algen,cb,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,bsl,state,wasserqualitaet,wasserqualitaet_txt
2018-05-14,60,30,15,20.6,0,300,60,30,<15,"20,60",,<300,B215,gruen,1,1
2018-05-28,70,15,15,22.3,0,300,70,<15,<15,"22,30",,<300,B215,gruen,1,1
2018-06-11,70,15,46,24.4,0,300,70,<15,46,"24,4",,<300,B215,gruen,1,1
2018-06-25,50,15,15,19.6,0,300,50,<15,15,"19,6",,<300,B215,gruen,1,1
2018-07-09,50,15,15,22.7,0,300,50,<15,<15,"22,7",,<300,B215,gruen,1,1
2018-07-23,40,30,15,24.8,,300,40,30,15,"24,8",A,<300,B215,gruen_a,1,1
2018-08-06,30,15,46,26.4,,300,30,15,46,"26,4",A,<300,B215,gelb_a,3,3
2018-08-20,30,15,94,24.4,,360,30,15,94,"24,4",A,360,B215,gelb_a,3,3
2018-09-04,50,15,15,21.3,,300,50,15,15,"21,3",A,<300,B215,gelb_a,3,3
2019-04-23,70,15,15,13.9,0,300,70,15,<15,"13,9",,<300,B215,gruen,1,1
2019-05-20,110,15,15,18.3,0,300,110,<15,<15,"18,3",,<300,B215,gruen,1,1
2019-06-05,140,15,30,25.4,0,300,140,<15,30,"25,4",,<300,B215,gruen,1,1
2019-06-17,110,15,15,25.5,0,300,110,<15,<15,"25,5",,<300,B215,gruen,1,1
2019-07-01,60,15,15,25.5,0,300,60,15,<15,"25,5",,<300,B215,gruen,1,1
2019-07-15,80,15,15,20.6,0,300,80,<15,<15,"20,6",,<300,B215,gruen,1,1
2019-07-29,100,15,15,25.4,0,910,100,15,<15,"25,4",,910,B215,gruen,1,1
