prediction,id,detail_id,messstelle,name,name_lang,gewaesser,bezirk,strasse,plz,stadt,gesundheitsamt_name,gesundheitsamt_zusatz,gesundheitsamt_strasse,gesundheitsamt_plz,gesundheitsamt_stadt,gesundheitsamt_mail,gesundheitsamt_telefon,wasserrettung_durch_hilfsorganisationen_dlrg_oder_asb,rettungsschwimmer,barrierefrei,barrierefrei_zugang,barrierefrei_wc,restaurant,imbiss,parken,cyano_moeglich,wc,wc_mobil,hundeverbot,name_lang2,lat,lng,image,state,date,sicht,temp
false,2,344360,B334,Alter Hof,Badestelle Alter Hof,Unterhavel,Steglitz Zehlendorf,Uferpromenade,14109,Berlin,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169,Berlin,hygiene@ba-sz.berlin.de,030902993624,true,false,false,false,false,false,false,false,true,false,true,true,Badestelle Alter Hof,13.14228,52.43270,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-alter_hof_klein.jpg,gruen,2017-09-12,150,18.1
false,4,344320,B225,Bammelecke,Badestelle Bammelecke,Dahme,Treptow Köpenick,Sportpromenade 1,12527,Berlin,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489,Berlin,geshum@ba-tk.berlin.de,030902974773,true,false,false,false,false,false,false,false,true,false,false,true,Badestelle Bammelecke,13.62254,52.40750,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-bammelecke.jpg,gruen,2017-09-05,60,20.1
false,6,344350,B332,Breitehorn,Badestelle Breitehorn,Unterhavel,Spandau,Breitehornweg 36/38,14089,Berlin,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578,Berlin,Ges2@ba-spandau.berlin.de,030902794020,false,false,false,false,false,true,false,false,true,false,false,true,Badestelle Breitehorn,13.17980,52.46575,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-breitehorn.jpg,gruen,2017-09-12,130,17.7
false,8,344337,B304,Bürgerablage,Badestelle Oberhavel/Bürgerablage,Oberhavel,Spandau,Niederneuendorfer Allee 84,13587,Berlin,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578,Berlin,Ges2@ba-spandau.berlin.de,030902794020,true,false,false,false,false,true,false,true,true,false,true,true,Badestelle Oberhavel/Bürgerablage,13.21124,52.58499,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-dscf0032.jpg,gruen,2017-09-11,120,17.1
false,10,344321,B105,Dämeritzsee,Badestelle Dämeritzsee,Dämeritzsee,Treptow Köpenick,Kanalstraße,12589,Berlin,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489,Berlin,geshum@ba-tk.berlin.de,030902974773,false,false,false,false,false,false,false,false,true,false,false,true,Badestelle Dämeritzsee,13.73511,52.42692,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-d__meritzsee.jpg,gruen,2017-09-05,120,18.6
false,12,344334,B920,Flughafensee,Badestelle Flughafensee,Flughafensee,Reinickendorf,Betzdorfer Pfad,13507,Berlin,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407,Berlin,gesundheitsamt@reinickendorf.berlin.de,030902945068,false,false,false,false,false,false,false,true,true,false,true,true,Badestelle Flughafensee,13.28489,52.56979,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-flughafensee.jpg,gruen,2017-09-07,160,19.9
false,14,344322,B118,Friedrichshagen,Seebad Friedrichshagen,Müggelsee,Treptow Köpenick,Müggelseedamm 216,12587,Berlin,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489,Berlin,geshum@ba-tk.berlin.de,030902974773,true,false,false,false,false,false,true,false,true,true,false,true,Seebad Friedrichshagen,13.63069,52.44584,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-friedrichshagen1.jpg,gruen,2017-09-05,200,19.6
false,16,344323,B230,Gartenstraße,Flussbad Gartenstraße,Dahme,Treptow Köpenick,Gartenstraße 42,12557,Berlin,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489,Berlin,geshum@ba-tk.berlin.de,030902974773,false,false,false,false,false,true,false,false,true,true,false,true,Flussbad Gartenstrasse,13.57573,52.44094,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gartenstra__e2.jpg,gruen,2017-09-05,80,20.4
false,18,344340,B961,Groß Glienicker See Nord,Badestelle Groß Glienicker See / nördlich,Groß-Glienicker See,Spandau,Uferpromenade 9,14089,Berlin,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578,Berlin,Ges2@ba-spandau.berlin.de,030902794020,true,false,false,false,false,false,false,true,false,false,true,true,Badestelle Groß Glienicker See / nördlich,13.11857,52.47175,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-grossglienicke_nord.jpg,gruen,2017-09-04,NaN,20.3
false,20,344338,B962,Groß Glienicker See Süd,Badestelle Groß Glienicker See / südlich,Groß-Glienicker See,Spandau,Im Dohl,14089,Berlin,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578,Berlin,Ges2@ba-spandau.berlin.de,030902794020,true,false,false,false,false,false,false,true,false,false,true,true,Badestelle Groß Glienicker See / südlich,13.11463,52.46036,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gro___glienicker_see_s__dlich.jpg,gruen,2017-09-04,NaN,20.7
false,22,344326,B224,Große Krampe,Große Krampe,Dahme,Treptow Köpenick,Gosener Damm,12559,Berlin,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489,Berlin,geshum@ba-tk.berlin.de,030902974773,false,false,false,false,false,false,false,false,true,true,false,true,Große Krampe,13.65238,52.38949,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gro__e_krampe2.jpg,gruen,2017-09-05,80,20.3
false,24,344362,B333,Große Steinlanke,Badestelle Unterhavel / Große Steinlanke,Unterhavel,Steglitz-Zehlendorf,Badeweg 1,14109,Berlin,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169,Berlin,hygiene@ba-sz.berlin.de,030902993624,true,false,false,false,false,false,false,true,true,false,false,true,Badestelle Unterhavel / Große Steinlanke,13.19022,52.45077,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gro__e_steinlanke2.jpg,gruen,2017-09-12,140,18
false,26,344325,B226,Grünau,Freibad Grünau,Dahme,Treptow Köpenick,Sportpromenade 15,12527,Berlin,Bezirksamt Treptow-Köpenick von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt / Fachbereich 2,Hans-Schmidt-Straße 18,12489,Berlin,geshum@ba-tk.berlin.de,030902974773,true,true,true,true,false,true,true,false,true,true,true,true,Freibad Grünau,13.60721,52.40898,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gr__nau1.jpg,gruen,2017-09-05,60,20.1
true,28,344359,B330,Grunewaldturm,Badestelle Grunewaldturm,Unterhavel,Charlottenburg-Wilmersdorf,Havelchaussee 61,14193,Berlin,Bezirksamt Charlottenburg-Wilmersdorf von Berlin,"Abteilung Soziales, Gesundheit und Umwelt, Gesundheitsamt",Hohenzollerndamm 174-177,10713,Berlin,hygiene@charlottenburg-wilmersdorf.de,030902916161,true,false,false,false,false,false,false,true,true,false,false,true,Badestelle Grunewaldturm,13.19470,52.48220,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-grunewaldturm2.jpg,gruen,2017-09-12,140,17.2
false,30,468922,B930a,Halensee,Halensee Steg am Restaurant,Halensee,Charlottenburg-Wilmersdorf,Königsallee 5a-b,14193,Berlin,Bezirksamt Charlottenburg-Wilmersdorf von Berlin,"Abteilung Soziales, Gesundheit und Umwelt, Gesundheitsamt",Hohenzollerndamm 174-177,10713,Berlin,hygiene@charlottenburg-wilmersdorf.de,030902916161,false,false,false,false,false,true,true,false,true,true,false,true,Halensee Steg am Restaurant,13.28184,52.49453,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/halensee_freibad.jpg,gruen,2017-09-06,120,20.7
false,32,344335,B925,Heiligensee,Freibad Heiligensee,Heiligensee,Reinickendorf,Sandhauser Straße 132-140,13503,Berlin,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407,Berlin,gesundheitsamt@reinickendorf.berlin.de,030902945068,false,true,true,true,false,true,false,true,true,true,false,true,Freibad Heiligensee,13.21297,52.60045,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-070503_heiligensee7.jpg,gruen,2017-09-07,140,19.5
false,34,344352,B922,Jungfernheide,Freibad Jungfernheide,Jungfernheidesee,Charlottenburg-Wilmersdorf,Jungfernheideweg 60,13629,Berlin,Bezirksamt Charlottenburg-Wilmersdorf von Berlin,"Abteilung Soziales, Gesundheit und Umwelt, Gesundheitsamt",Hohenzollerndamm 174-177,10713,Berlin,hygiene@charlottenburg-wilmersdorf.de,030902916161,false,true,false,false,true,false,true,true,true,true,false,true,Freibad Jungfernheide,13.27467,52.54371,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/img_0766.jpg,gruen,2017-09-07,140,18.7
