id,detail_id,messstelle,name,name_lang,gewaesser,bezirk,strasse,plz,stadt,webseite,gesundheitsamt_name,gesundheitsamt_zusatz,gesundheitsamt_strasse,gesundheitsamt_plz,gesundheitsamt_stadt,gesundheitsamt_mail,gesundheitsamt_telefon,wasserrettung_durch_hilfsorganisationen_dlrg_oder_asb,rettungsschwimmer,barrierefrei,barrierefrei_zugang,barrierefrei_wc,restaurant,imbiss,parken,cyano_moeglich,wc,wc_mobil,hundeverbot,name_lang2,lat,lng,image,letzte_eu_einstufung,prediction,sicht_txt,eco_txt,ente_txt,temp_txt,algen_txt,cb_txt,state,date
76,344318,B910,Weißer See,Seebadeanstalt am Weißensee,Weißer See,Pankow,Berliner Allee 174,13088.0,Berlin,https://www.berlinerbaeder.de/baeder/strandbad-weissensee/,Bezirksamt Pankow von Berlin,"Abt. Soziales, Gesundheit, Schule und Sport, Gesundheitsamt",Grunowstr. 8-11,13187.0,Berlin,geshum@ba-pankow.berlin.de,30902952869.0,0,0,0,0,0,0,1,0,1,1,0,1,Seebadeanstalt am Weißensee,13.46559,52.55396,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-wei__ensee2.jpg,ausgezeichnet,null,>200,<15,45,"17,60",,360,gruen,2017-09-13
48,347246,B911,Orankesee,Strandbad Orankesee,Orankesee,Lichtenberg,Gertrudstraße 7,13053.0,Berlin,http://www.strandbad-orankesee.de/,Bezirksamt Lichtenberg von Berlin,"Abteilung Jugend und Gesundheit, Gesundheitsamt",Alfred-Kowalke-Str. 24,10360.0,Berlin,hygiene@lichtenberg.berlin.de,30902967552.0,0,0,1,1,0,0,1,1,1,1,0,1,Strandbad Orankesee,13.48425,52.5496,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/orankesee.jpg,ausgezeichnet,null,280,<15,<15,"17,50",,730,gruen,2017-09-13
36,344351,B329,Kleine Badewiese,Badestelle Unterhavel / Kleine Badewiese,Unterhavel,Spandau,Am Wiesenhaus,14089.0,Berlin,http://kleine-badewiese-gatow.weebly.com/,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578.0,Berlin,Ges2@ba-spandau.berlin.de,30902794020.0,1,0,0,0,0,1,0,1,1,1,1,1,Badestelle Unterhavel / Kleine Badewiese,13.18595,52.48418,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-kleine_badewiese.jpg,gut,ausreichend,130,77,<15,"17,50",,730,gruen,2017-09-12
28,344359,B330,Grunewaldturm,Badestelle Grunewaldturm,Unterhavel,Charlottenburg-Wilmersdorf,Havelchaussee 61,14193.0,Berlin,keine Webseite verfügbar,Bezirksamt Charlottenburg-Wilmersdorf von Berlin,"Abteilung Soziales, Gesundheit und Umwelt, Gesundheitsamt",Hohenzollerndamm 174-177,10713.0,Berlin,hygiene@charlottenburg-wilmersdorf.de,30902916161.0,1,0,0,0,0,0,0,1,1,0,0,1,Badestelle Grunewaldturm,13.1947,52.4822,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-grunewaldturm2.jpg,ausgezeichnet,ausreichend,140,143,<15,"17,20",,<300,gruen,2017-09-12
6,344350,B332,Breitehorn,Badestelle Breitehorn,Unterhavel,Spandau,Breitehornweg 36/38,14089.0,Berlin,keine Webseite verfügbar,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578.0,Berlin,Ges2@ba-spandau.berlin.de,30902794020.0,0,0,0,0,0,1,0,0,1,0,0,1,Badestelle Breitehorn,13.1798,52.46575,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-breitehorn.jpg,ausgezeichnet,null,130,94,<15,"17,70",,360,gruen,2017-09-12
52,344357,B336,Radfahrerwiese,Badestelle Radfahrerwiese,Unterhavel,Steglitz Zehlendorf,Havelchaussee 92 B,14193.0,Berlin,keine Webseite verfügbar,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169.0,Berlin,hygiene@ba-sz.berlin.de,30902993624.0,1,0,0,0,0,0,0,1,1,0,0,1,Badestelle Radfahrerwiese,13.18963,52.45861,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-radfahrerwiese.jpg,ausgezeichnet,null,140,46,<15,"17,60",,300,gruen,2017-09-12
42,344358,B331,Lieper Bucht,Badestelle Lieper Bucht,Unterhavel,Steglitz Zehlendorf,Lindwerder,14193.0,Berlin,keine Webseite verfügbar,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169.0,Berlin,hygiene@ba-sz.berlin.de,30902993624.0,1,0,0,0,0,0,0,1,1,0,1,1,Badestelle Lieper Bucht,13.19672,52.46933,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-lieperbucht1.jpg,ausgezeichnet,null,140,46,<15,"17,50",,<300,gruen,2017-09-12
2,344360,B334,Alter Hof,Badestelle Alter Hof,Unterhavel,Steglitz Zehlendorf,Uferpromenade,14109.0,Berlin,keine Webseite verfügbar,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169.0,Berlin,hygiene@ba-sz.berlin.de,30902993624.0,1,0,0,0,0,0,0,0,1,0,1,1,Badestelle Alter Hof,13.14228,52.4327,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-alter_hof_klein.jpg,ausgezeichnet,null,150,15,<15,"18,10",,360,gruen,2017-09-12
24,344362,B333,Große Steinlanke,Badestelle Unterhavel / Große Steinlanke,Unterhavel,Steglitz-Zehlendorf,Badeweg 1,14109.0,Berlin,keine Webseite verfügbar,Bezirksamt Steglitz-Zehlendorf von Berlin,"Abteilung Jugend, Gesundheit, Umwelt und Tiefbau, Gesundheitsamt, Fachbereich Gesundheitsschutz und -aufsicht",Robert-Lück-Str. 5,12169.0,Berlin,hygiene@ba-sz.berlin.de,30902993624.0,1,0,0,0,0,0,0,1,1,0,0,1,Badestelle Unterhavel / Große Steinlanke,13.19022,52.45077,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-gro__e_steinlanke2.jpg,ausgezeichnet,null,140,45,<15,"18,00",,360,gruen,2017-09-12
8,344337,B304,Bürgerablage,Badestelle Oberhavel/Bürgerablage,Oberhavel,Spandau,Niederneuendorfer Allee 84,13587.0,Berlin,keine Webseite verfügbar,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578.0,Berlin,Ges2@ba-spandau.berlin.de,30902794020.0,1,0,0,0,0,1,0,1,1,0,1,1,Badestelle Oberhavel/Bürgerablage,13.21124,52.58499,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-dscf0032.jpg,ausgezeichnet,null,120,<15,<15,"17,10",,<300,gruen,2017-09-11
54,344341,B302,Sandhauser Straße,Badestelle Sandhauser Str.,Oberhavel,Reinickendorf,Sandhauser Straße 57,13505.0,Berlin,keine Webseite verfügbar,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407.0,Berlin,gesundheitsamt@reinickendorf.berlin.de,30902945068.0,1,0,0,0,0,0,0,0,1,0,1,1,Badestelle Sandhauser Str.,13.22087,52.59457,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/070503-sandhauser-str5.jpg,ausgezeichnet,null,140,<15,<15,"17,20",,<300,gruen,2017-09-11
62,344343,B309,Tegeler See,Freibad Tegeler See,Tegeler See,Reinickendorf,Schwarzer Weg 21,13505.0,Berlin,http://www.strandbad-tegel.de/,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407.0,Berlin,gesundheitsamt@reinickendorf.berlin.de,30902945068.0,0,0,0,0,0,0,0,1,0,1,0,1,Freibad Tegeler See,13.24528,52.57784,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-070503_tegeler_see11.jpg,ausgezeichnet,null,250,<15,<15,"18,20",,<300,gruen,2017-09-11
68,344344,B314,Reiherwerder,Badestelle Reiherwerder,Tegeler See,Reinickendorf,Schwarzer Weg,13505.0,Berlin,keine Webseite verfügbar,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407.0,Berlin,gesundheitsamt@reinickendorf.berlin.de,30902945068.0,1,0,0,0,0,0,0,1,0,0,1,1,Badestelle Reiherwerder,13.25519,52.58564,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-dscf0015.jpg,ausgezeichnet,null,200,<15,<15,"18,10",,<300,gruen,2017-09-11
64,344345,B312,Reiswerder,Badestelle gegenüber Reiswerder,Tegeler See,Reinickendorf,Bernauer Straße,13507.0,Berlin,keine Webseite verfügbar,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407.0,Berlin,gesundheitsamt@reinickendorf.berlin.de,30902945068.0,1,0,0,0,0,0,0,1,0,0,1,1,Badestelle gegenüber Reiswerder,13.25602,52.56819,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-dscf0025.jpg,ausgezeichnet,null,>250,30,<15,"17,70",,360,gruen,2017-09-11
66,344348,B311,Scharfenberg,Badestelle gegenüber Scharfenberg,Tegeler See,Reinickendorf,Scharfenberg gegenüber Insel,13505.0,Berlin,keine Webseite verfügbar,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407.0,Berlin,gesundheitsamt@reinickendorf.berlin.de,30902945068.0,1,0,0,0,0,0,0,0,0,0,1,1,Badestelle gegenüber Scharfenberg,13.24425,52.57572,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-dscf0012.jpg,ausgezeichnet,null,>200,<15,<15,"18,20",,<300,gruen,2017-09-11
70,344349,B313,Saatwinkel,"Tegeler See, Saatwinkel",Tegeler See,Spandau,Im Saatwinkel 65,13599.0,Berlin,keine Webseite verfügbar,Bezirksamt Spandau von Berlin,Abteilung Soziales und Gesundheit Gesundheitsamt,Carl-Schurz-Str. 2-6,13578.0,Berlin,Ges2@ba-spandau.berlin.de,30902794020.0,1,0,0,0,0,0,1,1,0,0,1,1,"Tegeler See, Saatwinkel",13.24684,52.56216,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-dscf0029.jpg,ausgezeichnet,null,>300,<15,<15,"18,00",,<300,gruen,2017-09-11
12,344334,B920,Flughafensee,Badestelle Flughafensee,Flughafensee,Reinickendorf,Betzdorfer Pfad,13507.0,Berlin,keine Webseite verfügbar,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407.0,Berlin,gesundheitsamt@reinickendorf.berlin.de,30902945068.0,0,0,0,0,0,0,0,1,1,0,1,1,Badestelle Flughafensee,13.28489,52.56979,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-flughafensee.jpg,ausgezeichnet,null,160,144,15,"19,90",,910,gruen,2017-09-07
32,344335,B925,Heiligensee,Freibad Heiligensee,Heiligensee,Reinickendorf,Sandhauser Straße 132-140,13503.0,Berlin,keine Webseite verfügbar,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407.0,Berlin,gesundheitsamt@reinickendorf.berlin.de,30902945068.0,0,1,1,1,0,1,0,1,1,1,0,1,Freibad Heiligensee,13.21297,52.60045,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-070503_heiligensee7.jpg,ausgezeichnet,null,140,<15,<15,"19,50",,<300,gruen,2017-09-07
44,344336,B926,Lübars,Freibad Lübars,Ziegeleisee,Reinickendorf,Am Freibad 10,13469.0,Berlin,http://www.strandbad-luebars.de/,Bezirksamt Reinickendorf von Berlin,Abteilung Gesundheit und Soziales Gesundheitsamt,Teichstraße 65,13407.0,Berlin,gesundheitsamt@reinickendorf.berlin.de,30902945068.0,0,1,1,1,0,0,1,1,1,1,0,1,Freibad Lübars,13.33605,52.61795,http://www.berlin.de/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/mdb-lagetsi-badegewaesser-l__bars.jpg,ausgezeichnet,null,180,<15,<15,"19,60",,<300,gruen,2017-09-07
