BadName;Bezirk;Profil;RSS_Name;Latitude;Longitude;ProfilLink;BadestelleLink;Dat;Sicht;Eco;Ente;Farbe;BSL;Algen;Wasserqualitaet;cb;Temp;PDFLink;PrognoseLink;Farb_ID
Alter Hof;Steglitz-Zehlendorf;Unterhavel;Alter Hof / Unterhavel;52.43270500;13.14227800;"""Unterhavel - Alter Hof(Link zum Badegewässerprofil Unterhavel Alter Hof)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339134.php;"""Alter Hof(Link zur Badestelle Alter Hof)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344360.php;19.06.2018;160;<15;30;gruen.jpg;B334;;1;<300;23,4;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad29.pdf;;1
Bammelecke;Treptow-Köpenick;Dahme;Bammelecke;52.40749800;13.62253700;"""Dahme - Bammelecke(Link zum Badegewässerprofil Bammelecke)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339118.php;"""Bammelecke(Link zur Badestelle Bammelecke)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344320.php;11.06.2018;100;<15;15;gruen.jpg;B225;;1;<300;24,3;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad1.pdf;;1
Breitehorn;Spandau;Unterhavel;Breitehorn / Unterhavel;52.46575300;13.17979700;"""Unterhavel - Breitehorn(Link zum Badegewässerprofil Unterhavel Breithorn)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339130.php;"""Breitehorn(Link zur Badestelle Breitehorn)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344350.php;19.06.2018;100;15;<15;gruen.jpg;B332;;1;<300;23,8;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad30.pdf;;1
Bürgerablage;Spandau;Oberhavel;Bürgerablage / Oberhavel;52.58498800;13.21124400;"""Oberhavel - Bürgerablage(Link zum Badegewässerprofil Bürgerablage)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339123.php;"""Bürgerablage(Link zur Badestelle Bürgerablage)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344337.php;13.06.2018;60;<15;46;gruen.jpg;B304;;1;<300;22,6;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad16.pdf;;1
Dämeritzsee;Treptow-Köpenick;Großer Müggelsee;Dämeritzsee;52.42692000;13.73511300;"""Großer Müggelsee - Dämeritzsee(Link zum Badegewässerprofil Dämeritzsee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339107.php;"""Dämeritzsee(Link zur Badestelle Dämeritzsee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344321.php;11.06.2018;100;<15;<15;gruen.jpg;B105;;1;<300;24;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad2.pdf;;1
Flughafensee;Reinickendorf;Flughafensee;Flughafensee;52.56978600;13.28488900;"""Flughafensee - Flughafensee(Link zum Badegewässerprofil Flughafensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339146.php;"""Flughafensee(Link zur Badestelle Flughafensee)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344334.php;12.06.2018;150;415;61;gruen.jpg;B920;;1;9300;22,3;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad3.pdf;;1
Friedrichshagen, Seebad;Treptow-Köpenick;Großer Müggelsee;Seebad Friedrichshagen;52.44583600;13.63069200;"""Seebad Friedrichshagen(Link zum Badegewässerprofil Seebad Friedrichshagen)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339113.php;"""Seebad Friedrichshagen(Link zur Badestelle Seebad Friedrichshagen)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344322.php;11.06.2018;170;<15;<15;gruen.jpg;B118;;1;360;22,7;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad4.pdf;;1
Gartenstraße, Flussbad;Treptow-Köpenick;Dahme;Flussbad Gartenstraße;52.44094000;13.57572700;"""Dahme - Flussbad Gartenstraße(Link zum Badegewässerprofil Flußbad Gartenstraße)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339121.php;"""Flußbad Gartenstraße(Link zur Badestelle Flußbad Gartenstraße)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344323.php;11.06.2018;110;30;<15;gruen.jpg;B230;;1;360;24,7;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad5.pdf;;1
Groß Glienicker See, nördlich;Spandau;Groß Glienicker See;Groß Glienicker See, nördlich;52.47175500;13.11856800;"""Groß Glienicker See - Groß Glienicker See, nördlich(Link zum Groß Glienicker See nördlich)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339153.php;"""Groß Glienicker See, nördlich(Link zur Badestelle Glienicker See nördlich)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344340.php;15.06.2018;>350;213;61;gruen.jpg;B961;;1;730;23,1;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad6.pdf;;1
Groß Glienicker See, südlich;Spandau;Groß Glienicker See;Groß Glienicker See, südlich;52.46036200;13.11463300;"""Groß Glienicker See - Groß Glienicker See, südlich(Link zum Groß Glienicker See südlich)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339154.php;"""Groß Glienicker See, südlich(Link zur Badestelle Glienicker See südlich)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344338.php;15.06.2018;>350;<15;<15;gruen.jpg;B962;;1;<300;22,9;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad7.pdf;;1
Große Krampe;Treptow-Köpenick;Dahme;Große Krampe;52.38949400;13.65238000;"""Dahme - Große Krampe(Link zum Badegewässerprofil Große Krampe)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badegewaesserprofile/artikel.339117.php;"""Große Krampe(Link zur Badestelle Große Krampe)""":/lageso/gesundheit/gesundheitsschutz/badegewaesser/badestellen/artikel.344326.php;11.06.2018;110;<15;15;gruen.jpg;B224;;1;<300;24,4;"""Alle Probeentnamen der aktuellen Saison für diese Badestelle(Link zur PDF-Datei mit allen Probeentnamen der aktuellen Saison)""":http://ftp.berlinonline.de/lageso/baden/bad8.pdf;;1
