"id","badname","Datum","Vorhersage"
36,"kleine Badewiese","2018-05-15","ausgezeichnet"
36,"kleine Badewiese","2018-05-16","ausgezeichnet"
36,"kleine Badewiese","2018-05-17","ausgezeichnet"
36,"kleine Badewiese","2018-05-18","ausgezeichnet"
36,"kleine Badewiese","2018-05-19","ausgezeichnet"
36,"kleine Badewiese","2018-05-20","ausgezeichnet"
36,"kleine Badewiese","2018-05-21","ausgezeichnet"
36,"kleine Badewiese","2018-05-22","ausgezeichnet"
36,"kleine Badewiese","2018-05-23","ausgezeichnet"
36,"kleine Badewiese","2018-05-24","ausgezeichnet"
36,"kleine Badewiese","2018-05-25","ausgezeichnet"
36,"kleine Badewiese","2018-05-26","ausgezeichnet"
36,"kleine Badewiese","2018-05-27","ausgezeichnet"
36,"kleine Badewiese","2018-05-31","ausgezeichnet"
36,"kleine Badewiese","2018-06-01","ausgezeichnet"
36,"kleine Badewiese","2018-06-02","ausgezeichnet"
36,"kleine Badewiese","2018-06-03","ausgezeichnet"
36,"kleine Badewiese","2018-06-04","ausgezeichnet"
36,"kleine Badewiese","2018-06-05","ausgezeichnet"
36,"kleine Badewiese","2018-06-06","ausgezeichnet"
36,"kleine Badewiese","2018-06-07","ausgezeichnet"
36,"kleine Badewiese","2018-06-08","ausgezeichnet"
36,"kleine Badewiese","2018-06-09","ausgezeichnet"
36,"kleine Badewiese","2018-06-10","ausgezeichnet"
36,"kleine Badewiese","2018-06-11","ausgezeichnet"
36,"kleine Badewiese","2018-06-12","ausgezeichnet"
36,"kleine Badewiese","2018-06-13","ausgezeichnet"
36,"kleine Badewiese","2018-06-14","ausgezeichnet"
36,"kleine Badewiese","2018-06-15","ausgezeichnet"
36,"kleine Badewiese","2018-06-16","ausgezeichnet"
36,"kleine Badewiese","2018-06-17","ausgezeichnet"
36,"kleine Badewiese","2018-06-18","ausgezeichnet"
36,"kleine Badewiese","2018-06-19","ausgezeichnet"
36,"kleine Badewiese","2018-06-20","ausgezeichnet"
36,"kleine Badewiese","2018-06-21","ausgezeichnet"
36,"kleine Badewiese","2018-06-22","ausgezeichnet"
36,"kleine Badewiese","2018-06-23","ausgezeichnet"
36,"kleine Badewiese","2018-06-24","ausgezeichnet"
36,"kleine Badewiese","2018-06-25","ausgezeichnet"
36,"kleine Badewiese","2018-06-26","ausgezeichnet"
36,"kleine Badewiese","2018-06-27","ausgezeichnet"
36,"kleine Badewiese","2018-06-28","ausgezeichnet"
36,"kleine Badewiese","2018-06-29","ausgezeichnet"
36,"kleine Badewiese","2018-06-30","ausgezeichnet"
36,"kleine Badewiese","2018-07-01","ausgezeichnet"
36,"kleine Badewiese","2018-07-02","ausgezeichnet"
36,"kleine Badewiese","2018-07-03","ausgezeichnet"
36,"kleine Badewiese","2018-07-04","ausgezeichnet"
36,"kleine Badewiese","2018-07-05","ausgezeichnet"
36,"kleine Badewiese","2018-07-06","ausgezeichnet"
36,"kleine Badewiese","2018-07-07","ausgezeichnet"
36,"kleine Badewiese","2018-07-08","ausgezeichnet"
36,"kleine Badewiese","2018-07-09","ausgezeichnet"
36,"kleine Badewiese","2018-07-10","ausgezeichnet"
36,"kleine Badewiese","2018-07-11","ausgezeichnet"
36,"kleine Badewiese","2018-07-12","ausgezeichnet"
36,"kleine Badewiese","2018-07-13","ausgezeichnet"
36,"kleine Badewiese","2018-07-14","ausgezeichnet"
36,"kleine Badewiese","2018-07-15","ausgezeichnet"
36,"kleine Badewiese","2018-07-16","ausgezeichnet"
36,"kleine Badewiese","2018-07-17","ausgezeichnet"
36,"kleine Badewiese","2018-07-18","ausgezeichnet"
36,"kleine Badewiese","2018-07-19","ausgezeichnet"
36,"kleine Badewiese","2018-07-20","ausgezeichnet"
36,"kleine Badewiese","2018-07-21","ausgezeichnet"
36,"kleine Badewiese","2018-07-22","ausgezeichnet"
36,"kleine Badewiese","2018-07-23","ausgezeichnet"
36,"kleine Badewiese","2018-07-24","ausgezeichnet"
36,"kleine Badewiese","2018-07-25","ausgezeichnet"
36,"kleine Badewiese","2018-07-26","ausgezeichnet"
36,"kleine Badewiese","2018-07-27","ausgezeichnet"
36,"kleine Badewiese","2018-07-28","ausgezeichnet"
36,"kleine Badewiese","2018-07-29","ausgezeichnet"
36,"kleine Badewiese","2018-07-30","ausgezeichnet"
36,"kleine Badewiese","2018-07-31","ausgezeichnet"
36,"kleine Badewiese","2018-08-01","ausgezeichnet"
36,"kleine Badewiese","2018-08-02","ausgezeichnet"
36,"kleine Badewiese","2018-08-03","ausgezeichnet"
36,"kleine Badewiese","2018-08-04","ausgezeichnet"
36,"kleine Badewiese","2018-08-05","ausgezeichnet"
36,"kleine Badewiese","2018-08-06","ausgezeichnet"
36,"kleine Badewiese","2018-08-07","ausgezeichnet"
36,"kleine Badewiese","2018-08-08","ausgezeichnet"
36,"kleine Badewiese","2018-08-09","ausgezeichnet"
36,"kleine Badewiese","2018-08-10","ausgezeichnet"
36,"kleine Badewiese","2018-08-11","ausgezeichnet"
36,"kleine Badewiese","2018-08-12","ausgezeichnet"
36,"kleine Badewiese","2018-08-13","ausgezeichnet"
36,"kleine Badewiese","2018-08-14","ausgezeichnet"
36,"kleine Badewiese","2018-08-15","ausgezeichnet"
36,"kleine Badewiese","2018-08-16","ausgezeichnet"
36,"kleine Badewiese","2018-08-17","ausgezeichnet"
36,"kleine Badewiese","2018-08-18","ausgezeichnet"
36,"kleine Badewiese","2018-08-19","ausgezeichnet"
36,"kleine Badewiese","2018-08-20","ausgezeichnet"
36,"kleine Badewiese","2018-08-21","ausgezeichnet"
36,"kleine Badewiese","2018-08-22","ausgezeichnet"
36,"kleine Badewiese","2018-08-23","ausgezeichnet"
36,"kleine Badewiese","2018-08-24","ausgezeichnet"
36,"kleine Badewiese","2018-08-29","ausgezeichnet"
36,"kleine Badewiese","2018-08-30","ausgezeichnet"
36,"kleine Badewiese","2018-08-31","ausgezeichnet"
36,"kleine Badewiese","2018-09-01","ausgezeichnet"
36,"kleine Badewiese","2018-09-02","ausgezeichnet"
36,"kleine Badewiese","2018-09-03","ausgezeichnet"
36,"kleine Badewiese","2018-09-04","ausgezeichnet"
36,"kleine Badewiese","2018-09-05","ausgezeichnet"
36,"kleine Badewiese","2018-09-06","ausgezeichnet"
36,"kleine Badewiese","2018-09-07","ausgezeichnet"
36,"kleine Badewiese","2018-09-08","ausgezeichnet"
36,"kleine Badewiese","2018-09-09","ausgezeichnet"
36,"kleine Badewiese","2018-09-10","ausgezeichnet"
36,"kleine Badewiese","2018-09-11","ausgezeichnet"
36,"kleine Badewiese","2018-09-12","ausgezeichnet"
36,"kleine Badewiese","2018-09-13","ausgezeichnet"
36,"kleine Badewiese","2018-09-14","ausgezeichnet"
36,"kleine Badewiese","2018-09-15","ausgezeichnet"
28,"Grunewaldturm","2018-05-15","ausgezeichnet"
28,"Grunewaldturm","2018-05-16","ausgezeichnet"
28,"Grunewaldturm","2018-05-17","ausgezeichnet"
28,"Grunewaldturm","2018-05-18","ausgezeichnet"
28,"Grunewaldturm","2018-05-19","ausgezeichnet"
28,"Grunewaldturm","2018-05-20","ausgezeichnet"
28,"Grunewaldturm","2018-05-21","ausgezeichnet"
28,"Grunewaldturm","2018-05-22","ausgezeichnet"
28,"Grunewaldturm","2018-05-23","ausgezeichnet"
28,"Grunewaldturm","2018-05-24","ausgezeichnet"
28,"Grunewaldturm","2018-05-25","ausgezeichnet"
28,"Grunewaldturm","2018-05-26","ausgezeichnet"
28,"Grunewaldturm","2018-05-27","ausgezeichnet"
28,"Grunewaldturm","2018-06-02","ausgezeichnet"
28,"Grunewaldturm","2018-06-03","ausgezeichnet"
28,"Grunewaldturm","2018-06-04","ausgezeichnet"
28,"Grunewaldturm","2018-06-05","ausgezeichnet"
28,"Grunewaldturm","2018-06-06","ausgezeichnet"
28,"Grunewaldturm","2018-06-07","ausgezeichnet"
28,"Grunewaldturm","2018-06-08","ausgezeichnet"
28,"Grunewaldturm","2018-06-09","ausgezeichnet"
28,"Grunewaldturm","2018-06-10","ausgezeichnet"
28,"Grunewaldturm","2018-06-11","ausgezeichnet"
28,"Grunewaldturm","2018-06-12","ausgezeichnet"
28,"Grunewaldturm","2018-06-13","ausgezeichnet"
28,"Grunewaldturm","2018-06-14","ausgezeichnet"
28,"Grunewaldturm","2018-06-15","ausgezeichnet"
28,"Grunewaldturm","2018-06-16","ausgezeichnet"
28,"Grunewaldturm","2018-06-17","ausgezeichnet"
28,"Grunewaldturm","2018-06-18","ausgezeichnet"
28,"Grunewaldturm","2018-06-19","ausgezeichnet"
28,"Grunewaldturm","2018-06-20","ausgezeichnet"
28,"Grunewaldturm","2018-06-21","ausgezeichnet"
28,"Grunewaldturm","2018-06-22","ausgezeichnet"
28,"Grunewaldturm","2018-06-23","ausgezeichnet"
28,"Grunewaldturm","2018-06-24","ausgezeichnet"
28,"Grunewaldturm","2018-06-25","ausgezeichnet"
28,"Grunewaldturm","2018-06-26","ausgezeichnet"
28,"Grunewaldturm","2018-06-27","ausgezeichnet"
28,"Grunewaldturm","2018-06-28","ausgezeichnet"
28,"Grunewaldturm","2018-06-29","ausgezeichnet"
28,"Grunewaldturm","2018-06-30","ausgezeichnet"
28,"Grunewaldturm","2018-07-01","ausgezeichnet"
28,"Grunewaldturm","2018-07-02","ausgezeichnet"
28,"Grunewaldturm","2018-07-03","ausgezeichnet"
28,"Grunewaldturm","2018-07-04","ausgezeichnet"
28,"Grunewaldturm","2018-07-05","ausgezeichnet"
28,"Grunewaldturm","2018-07-06","ausgezeichnet"
28,"Grunewaldturm","2018-07-07","ausgezeichnet"
28,"Grunewaldturm","2018-07-08","ausgezeichnet"
28,"Grunewaldturm","2018-07-09","ausgezeichnet"
28,"Grunewaldturm","2018-07-10","ausgezeichnet"
28,"Grunewaldturm","2018-07-11","ausgezeichnet"
28,"Grunewaldturm","2018-07-12","ausgezeichnet"
28,"Grunewaldturm","2018-07-13","ausgezeichnet"
28,"Grunewaldturm","2018-07-14","ausgezeichnet"
28,"Grunewaldturm","2018-07-15","ausgezeichnet"
28,"Grunewaldturm","2018-07-16","ausgezeichnet"
28,"Grunewaldturm","2018-07-17","ausgezeichnet"
28,"Grunewaldturm","2018-07-18","ausgezeichnet"
28,"Grunewaldturm","2018-07-19","ausgezeichnet"
28,"Grunewaldturm","2018-07-20","ausgezeichnet"
28,"Grunewaldturm","2018-07-21","ausgezeichnet"
28,"Grunewaldturm","2018-07-22","ausgezeichnet"
28,"Grunewaldturm","2018-07-23","ausgezeichnet"
28,"Grunewaldturm","2018-07-24","ausgezeichnet"
28,"Grunewaldturm","2018-07-25","ausgezeichnet"
28,"Grunewaldturm","2018-07-26","ausgezeichnet"
28,"Grunewaldturm","2018-07-27","ausgezeichnet"
28,"Grunewaldturm","2018-07-28","ausgezeichnet"
28,"Grunewaldturm","2018-07-29","ausgezeichnet"
28,"Grunewaldturm","2018-07-30","ausgezeichnet"
28,"Grunewaldturm","2018-07-31","ausgezeichnet"
28,"Grunewaldturm","2018-08-01","ausgezeichnet"
28,"Grunewaldturm","2018-08-02","ausgezeichnet"
28,"Grunewaldturm","2018-08-03","ausgezeichnet"
28,"Grunewaldturm","2018-08-04","ausgezeichnet"
28,"Grunewaldturm","2018-08-05","ausgezeichnet"
28,"Grunewaldturm","2018-08-06","ausgezeichnet"
28,"Grunewaldturm","2018-08-07","ausgezeichnet"
28,"Grunewaldturm","2018-08-08","ausgezeichnet"
28,"Grunewaldturm","2018-08-09","ausgezeichnet"
28,"Grunewaldturm","2018-08-10","ausgezeichnet"
28,"Grunewaldturm","2018-08-11","ausgezeichnet"
28,"Grunewaldturm","2018-08-12","ausgezeichnet"
28,"Grunewaldturm","2018-08-13","ausgezeichnet"
28,"Grunewaldturm","2018-08-14","ausgezeichnet"
28,"Grunewaldturm","2018-08-15","ausgezeichnet"
28,"Grunewaldturm","2018-08-16","ausgezeichnet"
28,"Grunewaldturm","2018-08-17","ausgezeichnet"
28,"Grunewaldturm","2018-08-18","ausgezeichnet"
28,"Grunewaldturm","2018-08-19","ausgezeichnet"
28,"Grunewaldturm","2018-08-20","ausgezeichnet"
28,"Grunewaldturm","2018-08-21","ausgezeichnet"
28,"Grunewaldturm","2018-08-22","ausgezeichnet"
